username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Vipin55shukla,09-06-2016 18:18,0,0,@kapsology gadhe...baat BJP aur AAP ki ho rahi hai..aur kya tere se jyada kisi k follower nahi hai??aur hai to tu kya hua??,,@kapsology,,7.41E+17,https://twitter.com/Vipin55shukla/status/740888206191824896
sushant_sethi,09-06-2016 09:06,6,0,#IAmProudBhakt cz no AAP follower can tell himself #ProudAAPtards :P :P,,,#IAmProudBhakt #ProudAAPtards,7.41E+17,https://twitter.com/sushant_sethi/status/740749299936415748
punj_aap,08-06-2016 16:15,3,3,oye manddh buddhi!! 2000yrs old Konarak ki akal rakhne vale Modi ke follower . Bhag jao! https:// twitter.com/nikil2804/stat us/740487203302821888 …,,,,7.40E+17,https://twitter.com/punj_aap/status/740495018188800000
punj_aap,08-06-2016 16:14,0,0,Bewaqoof Modi ka Bewaqoof follower . 2000yrsold Konarak. Beizzati karvata rehta hai jahan jaata hai anpadh Modi https:// twitter.com/I_Atheist_/sta tus/740488763185475584 …,,,,7.40E+17,https://twitter.com/punj_aap/status/740494778756915200
rickysinha,08-06-2016 12:15,0,0,@niraj_abhi not a blind follower like #AAPTards jo BJP ko criticize nahi kar sakta main. Btw Pak se hawala ko jo fund AAP me aata uska kya?,,@niraj_abhi,#AAPTards,7.40E+17,https://twitter.com/rickysinha/status/740434500845473792
FuNNy_TriXs,08-06-2016 07:30,0,0,"Bhai AGr Aap Ne Xchnge Chor Dia Hai Tu Plzzz Batao Take Main Apko Fazool ThanG Na Karun, ID Name:@QMobileTrixs Follower 's: 1,200+",,@QMobileTrixs,,7.40E+17,https://twitter.com/FuNNy_TriXs/status/740362739156176896
RaJa_SmS_505,07-06-2016 21:08,0,0,"Kaise Mumkin Hai K Bhool Jaen Apko, Suno Follower ,s Koi Qissa Nahi Hissa-E-Zindagi Ho Aap .....? ID Cheif Editor A GHANI KATYAR",,,,7.40E+17,https://twitter.com/RaJa_SmS_505/status/740206294875901952
Aap_kI_Yaad,07-06-2016 21:05,0,0,"*35,000+ Follower 's Ki Man Pasand Id..* #LiveUpdaTes #CricketNews #CricketStats #CricketRecords #History - Follow CrickeT1_Score send 40404",,,#LiveUpdaTes #CricketNews #CricketStats #CricketRecords #History,7.40E+17,https://twitter.com/Aap_kI_Yaad/status/740205505482723328
fahadmalik286,07-06-2016 16:54,0,0,@A_ProudCivilian @shobi_717 Karachi mein logo ko paani mai mil rah woh b punjab pe daal de aap ...I just want u dnt b blind follower :))),,@A_ProudCivilian @shobi_717,,7.40E+17,https://twitter.com/fahadmalik286/status/740142377738903552
ashwinik1007,07-06-2016 09:47,0,0,@Shreyasaxenaa @ArvindKejriwal @thekiranbedi Now Cong is following the policy of AAP & Delhi CM their. KB is a True follower of Anna.,,@Shreyasaxenaa @ArvindKejriwal @thekiranbedi,,7.40E+17,https://twitter.com/ashwinik1007/status/740034832219013120
